titre,entreprise,contrat,localisation,salaire,description,lien,date_publication,date_scraping,source
Expert HSE - IDF - Projet Data Center - Mission freelance (H/F),Yalink,CCE,75 - Paris 1er Arrondissement,,"Expert HSE H/F - Projet Data Center en Île-de-France
Vous rejoignez un groupe multinational reconnu en services multi-techniques qui pilote des projets d'envergure en Île-de-France, de 1,5 M€ à 21,9 M€. Face à la complexité croissante de ses chantiers et aux exigences de conformité réglementaire, notre client recherche un Expert HSE expérimenté pour structurer et piloter sa démarche Hygiène, Sécurité, Environnement sur des projets stratégiques mêlant data centers, immeubles tertiaires et installations critiques.
Vos responsabilités principales :
 - Élaborer et mettre à jour les PPSPS (Plans Particuliers de Sécurité et de Protection de la Santé) en adaptant les exigences à chaque projet et ses spécificités techniques
 - Constituer et valider les Documents Uniques d'Évaluation des Risques pour les phases de conception et d'exécution
 - Formaliser et contrôler les obligations administratives HSE, en veillant à la conformité réglementaire continue
 - Conduire des audits de conformité et émettre des recommandations d'amélioration
 - Collaborer étroitement avec les chefs de projet et équipes opérationnelles pour intégrer les enjeux HSE dès les phases amont du projet
 - Gérer les travaux multi-techniques (CVCD-Plomberie, électricité, construction) dans des environnements sensibles (ministères, secteur financier, data centers)
Environnement de travail :
Vous opérez en autonomie au sein d'une organisation établie et bien structurée, avec accès à des projets bien dotés budgétairement et des maîtres d'ouvrage prestigieux. Vous bénéficiez d'une totale liberté dans l'organisation de votre travail en tant que freelance expert, tout en bénéficiant du support et de la crédibilité d'un groupe reconnu.
Cette mission offre une opportunité unique de renforcer votre expertise dans la gestion HSE de projets complexes en secteurs hautement régulés.
Profil recherché:
Profil recherché :
Expérience requise :
 - Minimum 8 à 10 ans d'expérience en tant qu'Expert HSE, idéalement en secteur BTP/construction ou ingénierie
 - Expérience confirmée de la rédaction et validation de PPSPS et Documents Uniques d'Évaluation des Risques
 - Connaissance approfondie de la réglementation française HSE (Code du travail, norme NF X 50-001, directives applicables aux chantiers temporaires)
 - Expérience en gestion de projets multi-techniques ou en coordonnateurs de sécurité
Compétences techniques indispensables :
 - Maîtrise des normes et standards HSE appliqués au BTP
 - Expertise en évaluation et gestion des risques professionnels
 - Capacité à auditer et valider la conformité réglementaire
 - Maîtrise des outils bureautiques et logiciels HSE (logiciels d'évaluation des risques, ou similaires)
Compétences complémentaires appréciées :
 - Certification HSE reconnu (CQPI, CHSCT, ou équivalent)
 - Expérience dans les secteurs data centers, tertiaire ou installations critiques
 - Connaissance des travaux en hauteur et environnements sensibles
Qualités professionnelles et soft skills :
 - Rigueur et attention au détail
 - Excellentes capacités de communication et de collaboration
 - Autonomie et esprit de synthèse
 - Capacité à vulgariser les enjeux HSE pour des non-spécialistes",https://candidat.francetravail.fr/offres/recherche/detail/7994808,2026-01-17,2026-02-11,France Travail
Manager IA Data H/F,ISAGRI,CDI,60 - Beauvais,Annuel de 60000.0 Euros à 65000.0 Euros,"RESPONSABILITÉS : 

En lien direct avec les directions métiers et les équipes techniques, vous pilotez la stratégie IA de bout en bout : de l'idéation à l'industrialisation, en passant par le management d'équipe et la coordination transverse.
À la tête d'une équipe d'Ingénieurs IA, vous organisez la détection des opportunités, le cadrage des cas d'usage, la réalisation des POCs et vous contribuez à évaluer la valeur métier, la faisabilité technique et le coût de mise en production. 
Vous êtes également un relais fort d'acculturation IA auprès des filiales et des métiers.
Vos responsabilités:
• Définir et déployer la stratégie IA du groupe en lien avec les enjeux métiers et technologiques.
• Encadrer une équipe IA
• Identifier, qualifier et prioriser les cas d'usage IA dans toutes les filiales du groupe.
• Piloter la conception et l'évaluation des POCs IA, en accompagnant les métiers dans leur transformation.
• Évaluer les coûts, délais et faisabilité des projets IA et orienter vers un MVP viable lorsque pertinent.
• Garantir la qualité des livrables, la pertinence des choix techniques et la mise en œuvre des bonnes pratiques.
• Développer une veille technologique active et diffuser une culture IA dans l'entreprise.
• Participer aux comités de pilotage pour représenter l'IA dans les décisions stratégiques.

PROFIL RECHERCHÉ : 

Vous avez:
• Bac +5 (école d'ingénieur, master en IA, Data Science, mathématiques appliquées...).
• Expérience confirmée (minimum 5 ans), dont au moins 2 ans en encadrement ou coordination d'équipe IA/Data.
• Leadership naturel, forte capacité d'écoute et sens aigu du résultat.
• Excellente communication, posture de facilitateur entre tech et métier.
• Solide culture IA (modélisation, POCs, MLOps...) et capacité à arbitrer entre complexité technique et valeur métier.
• Expérience dans des projets multi-interlocuteurs et en environnement agile ou en transformation.
CONDITIONS PROPOSEES
• Poste en CDI basé à Beauvais
• Télétravail possible jusqu'à 2jrs/semaine
• Poste stratégique à fort impact transversal dans un groupe solide et en pleine croissance.
• Une capacité à travailler sérieusement tout en cultivant une ambiance conviviale et décontractée
• Un cadre technique en constante amélioration
• L'opportunité de travailler à la création de nouveau produits innovants
Dans le cadre de sa politique RH, nous étudions, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.
ISA-RECRUT1",https://candidat.francetravail.fr/offres/recherche/detail/7985422,2026-01-17,2026-02-11,France Travail
"Data Manager F/H - Système, réseaux, données (H/F)",Manutan,CDI,95 - Gonesse,,"Descriptif du poste:

Vous souhaitez travailler sur des technologies de pointe et révéler votre talent ? Apprendre, partager et progresser, tout en donnant du sens à votre travail ? Relever des défis technologiques et repousser les frontières du possible en transformation digitale ? Rejoignez l'aventure Manutan et ses équipes passionnées par les Technologies et la DATA. 
Groupe familial français, Manutan acteur majeur européen BtoB et partenaire des entreprises, collectivités et artisans depuis 60 ans, est spécialisé dans la distribution d'équipements et de fournitures.  
Son modèle d'alliance, qui associe les atouts du digital (solutions e-commerce) à des services personnalisés, permet à Manutan d'accompagner ses clients vers une performance plus durable et éthique, tout en mettant en place une stratégie d'optimisation de leurs achats.  
Avec 25 filiales implantées dans 17 pays d'Europe, le Groupe compte 2 500 collaborateurs et réalise un chiffre d'affaires de 1,03 milliard d'euros en 2024/25. Pour 2026, ce sont 18 filiales du Groupe dans 11 pays qui obtiennent la certification Great Place to Work®. Nous sommes également fiers d'avoir obtenu la certification ""Happy Trainees"" pour la sixième fois ! 
 
Misions & Responsabilités :
Au sein du siège social de Manutan, vous intégrez le Département Extension de l'Offre, rattaché à la Direction Offre & Supply Chain.
En tant que Data Manager, vous serez garant d'un portefeuille de projets et de la qualité des données intégrées sur notre site. A ce titre, vos missions principales seront les suivantes : 
* Suivre la feuille de route de publications définie
* Intégrer dans le PIM les données produits issues des catalogues de nos fournisseurs dans le respect des standards Manutan
* Assurer des contacts réguliers avec les fournisseurs dans les phases d'intégration, de collecte et de vérification des données produits et logistiques
* Assurer le suivi des projets depuis leur initialisation jusqu'à la mise en ligne des produits, en assurer le reporting et la communication aux parties prenantes
* Apporter les correctifs nécessaires 
* Alerter sur les risques inhérents aux projets et mettre en oeuvre les plans d'actions permettant de délivrer les projets selon les objectifs définis 
* Participer à l'amélioration continue de nos processus et outils en coordination avec l'Efficiency Project Manager
* Assurer un support quotidien des équipes de la direction de l'Offre Groupe
Dans le cadre de ces missions, vous serez amené à collaborer activement et en synergie avec les Category Managers, Chefs de Produit, Acheteurs, Content Managers, la direction Supply Chain, le MDM mais aussi les filiales européennes du Groupe Manutan.

Profil recherché:

De formation supérieur, vous justifiez obligatoirement d'au moins 2 ans dans une fonction de Data Manager.Vous êtes reconnu(e) pour votre rigueur, votre sens de l'analyse et votre capacité à structurer et fiabiliser les données dans un environnement exigeant et collaboratif. Doté d'un excellent relationnel, vous savez travailler en synergie avec de multiples interlocuteurs (internes et externes) et piloter vos priorités avec autonomie. Vous maîtrisez Excel ainsi que les outils d'extraction, de transformation et d'intégration de données, et vous êtes à l'aise en anglais professionnel pour évoluer dans un contexte international.
Langue :
* 
Anglais courant indispensable pour ce poste - échanges quotidiens écrits et oraux 
Pourquoi nous rejoindre :
* 
Télétravail : Jusqu'à 3 jours/semaine
* 
Rémunération : Prime annuelle, Bonus pour tous, Participation et Intéressement   
* 
Jours de repos : 15 RTT, congés d'ancienneté  
* 
Avantages : Centre sportif (50€/an), restaurant (repas à 4 €), conciergerie, crèche  
* 
Accessibilité : Navette Gare du Bourget (RER B) > Manutan en 15 min. Dispositif de covoiturage  
* 
Mutuelle avantageuse : 25,12€ pour un salarié seul ou avec enfant  
* 
Bien-être au travail : Certifié « Great Place To Work » depuis 10 ans et labellisé « Happy Trainees » depuis 6 ans 
Localisation :
DREDA - Centre Européen Manutan - ZAC du Parc des Tulipes - Avenue du 21e Siècle - 95500 Gonesse 
En transport : 
* 
Bus 152 - Arrêt ZAC de Tulipes Nord (Terminus) 
* 
Bus 23 - Arrêt ZAC de Tulipes Nord  
* 
Une navette gratuite est disponible, reliant la gare du Bourget (RER B) à Manutan en seulement 15min 
 ",https://candidat.francetravail.fr/offres/recherche/detail/7949497,2026-01-16,2026-02-11,France Travail
Tech Lead Data H/F,JEMS,CDI,44 - Nantes,Annuel de 50000.0 Euros à 65000.0 Euros,"RESPONSABILITÉS : 

Nous recherchons un(e) Tech Lead Data capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques Data.
Vous aurez la charge de :
 • Assurer la mise en œuvre de l'accès, du référencement et de la qualité de la donnée
 • Assurer l'industrialisation, la supervision et l'intégration des solutions
 • Rédiger les normes de développement
 • Participer à la rédaction du manuel d'exploitation
En tant que Tech Lead, vous savez :
 • Vous présenter et promouvoir des architectures data face au client
 • Identifier et comprendre les besoins métiers
 • Former, encadrer et faire évoluer les consultants juniors
 • Participer à la réponse aux appels d'offres (avant-vente)

PROFIL RECHERCHÉ : 

En tant que Tech Lead Data vous maîtrisez :
 • Prompt Engineering, RAG, LLM, Agentique IA (ChatGPT, Claude Sonnet, Gemini, Mistral IA...)
 • Le langage SQL
 • Un langage objet (Python, JAVA, Scala)
 • Un framework de calcul distribué
 • Un bus de messages: Kafka, RabbitMQ
 • Des Outils d'alimentation de données: Talend, Matillion, Stambia
 • Des Moteurs de recherche: suite ELK (ElasticSearch, Logstash, Kibana), SolR, services Cloud
 • Le Stockage des données: stockage objet et/ou distribué (HDFS, deltalake ou blob/S3)
 • L'intégration continue (Git, JUnit, SonarQube, Jenkins)
 • Un cloud provider (AWS, GCP, Azure) ou une distribution Big Data (Hortonworks, Cloudera, Datastax)
 • Les concepts de la modélisation relationnelle et non-relationnelle
Diplômé(e) d'une école d'ingénieur ou d'une université, vous justifiez d'une expérience professionnelle d'au minimum 5 ans dans un contexte projet Data. Rigoureux(se), proactif(ve) et autonome vous restez en veille technologique et êtes force de proposition. Vous êtes capable de prendre de la hauteur et vous adapter aux enjeux du projet.",https://candidat.francetravail.fr/offres/recherche/detail/7929623,2026-01-16,2026-02-11,France Travail
Architecte Data - Socle transverse - Grande DSI - H/F,Externatic,CDI,92 - Puteaux,Annuel de 80000.0 Euros à 90000.0 Euros,"L'entreprise accompagnée et les missions:
L'entreprise accompagnée dans son recrutement CDI 

Rejoignez un grand acteur français de l’assurance, reconnu pour la solidité de ses activités, la richesse de ses données et ses investissements continus dans la modernisation de son système d’information.

Au cœur des enjeux marketing, relation client et pilotage de la performance, cette organisation mène depuis plusieurs années une transformation ambitieuse de ses plateformes Data, avec un fort accent mis sur le Cloud, l’urbanisation du SI et les architectures modernes orientées services.

Dans un contexte de renforcement durable des équipes (plusieurs créations de postes récentes) et d’anticipation d’un départ à la retraite, elle confie à Externatic, cabinet de recrutement spécialisé IT, la recherche d’un(e) Architecte Data transverse pour intervenir sur un périmètre stratégique et à forte visibilité.

Les missions / rôles 

Intégré(e) à une équipe d’architectes répartie sur plusieurs sites en France, vous intervenez comme référent(e) architecture Data sur des sujets structurants et transverses :

- Concevoir et faire évoluer les architectures Data en lien avec les besoins métiers (marketing, connaissance client, pilotage).
- Définir les standards, principes et trajectoires d’architecture pour les socles Data.
- Intervenir sur des environnements modernes intégrant Cloud, API, microservices, plateformes SaaS/PaaS.
- Travailler en étroite collaboration avec les équipes projets, les équipes Data, les experts techniques et les équipes métiers.
- Apporter un regard d’architecte tout en conservant un ancrage technique fort, notamment dans les phases de cadrage et de choix de solutions.
- Contribuer à l’amélioration continue des pratiques et à la diffusion des bonnes pratiques d’architecture au sein de la BU.

Profil:
Vous disposez d’un background technique solide et avez progressivement évolué vers des rôles d’architecture ou de tech lead orienté architecture.

- Expérience confirmée en architecture Data / SI, idéalement dans des environnements complexes et à fort volume.
- Maîtrise des grands concepts d’architecture moderne :
Cloud (public ou hybride), APIs, microservices, architectures distribuées, solutions SaaS / PaaS.
- Bonne compréhension des enjeux Data & usages métiers (marketing, relation client, pilotage…), une expérience en assurance étant un plus mais non indispensable.
- Capacité à dialoguer aussi bien avec des profils techniques qu’avec des interlocuteurs fonctionnels.
- Esprit de synthèse, posture de conseil, sens du collectif et goût pour les sujets transverses.

Avantages:
Conditions de travail et avantages
- Rémunération fixe : 80–85 K€ selon profil
- CDI au sein d’une DSI interne reconnue pour sa stabilité
- 2 jours de télétravail / semaine
- Environnement structuré, propice à la prise de hauteur et à l’impact long terme
- Équilibre vie pro / vie perso encouragé
- Accès à des formations continues et à des projets d’envergure
- Localisation accessible (Puteaux)

Process de recrutement 
- Entretien avec un consultant Externatic 
- Entretien RH et/ou manager de l'entreprise
- Entretien Direction

Envie d’en savoir plus ?
Postulez dès maintenant pour rejoindre un environnement IT structurant, avec de vrais enjeux d’architecture d’entreprise.
Être accompagné par Externatic, c’est aussi accéder à des opportunités en CDI parfois invisibles sur les jobboards, au cœur du marché caché de l’IT. 🚀",https://candidat.francetravail.fr/offres/recherche/detail/7928094,2026-01-15,2026-02-11,France Travail
Data Manager F/H,SYMERIA,CDI,78 - Versailles,Annuel de 60000.0 Euros à 70000.0 Euros,"Notre client est une entreprise française innovante, spécialisée dans la conception et la fabrication de composants électroniques à haute fiabilité, destinés aux secteurs spatial, défense et aéronautique.

Pour accompagner sa croissance, nous accompagnons notre client dans le recrutement d’un Data Manager F/H pour accompagner la transformation digitale de l’entreprise.

Cette société se distingue par sa culture d’excellence technique, la qualité de ses produits et un environnement de travail à taille humaine favorisant les échanges directs entre les équipes.
Vos missions :

Rattaché au Directeur des Systèmes d’Information, vous jouez un rôle clé dans la création et la structuration du pôle Data.

Vos principales responsabilités sont :

 - Définir et piloter la stratégie de gouvernance des données (collecte, stockage, traitement, partage).
 - Identifier, en lien avec les équipes métiers, les données à forte valeur ajoutée et proposer des axes d’optimisation et d’automatisation.
 - Déployer des outils de visualisation et d’analyse (BI, IA, ClicData).
 - Garantir la qualité, la fiabilité et la conformité RGPD des données.
 - Former et accompagner les équipes internes dans l’exploitation et la valorisation des données.
 - Contribuer à des projets de digitalisation et maintenance prédictive au sein des activités industrielles.

Profil recherché:
Titulaire d’un diplôme d’ingénieur ou master en Data / Intelligence Artificielle / Informatique décisionnelle, vous justifiez d’une expérience d’au moins 5 ans sur des projets data ou digitalisation dans un environnement industriel (manufacturing, électronique, aéronautique, ou connexe).

Vous maîtrisez les principes de gouvernance de la donnée et les outils BI (ClicData, Power BI, Qlik…).
Vous avez impérativement une bonne compréhension des enjeux opérationnels et un goût pour le terrain.

Votre niveau d’anglais est professionnel (échanges avec le groupe).

Il s’agit d’un poste en CDI, basé proche de Versailles (78).

Rémunération comprise entre 60 et 70 K€ brut annuel.

Prime collective annuelle (jusqu’à 8 %) + intéressement + participation.
1 à 2 jours de télétravail par semaine.
Mutuelle prise en charge à 60 %, tickets restaurant (10 € pris en charge à 50 %), restaurant d’entreprise, épargne salariale, CSE.

Les + de ce poste :

 - Création de poste : opportunité de construire la fonction Data de A à Z.
 - Cycle de décision court et visibilité directe auprès de la Direction.
 - Projets innovants au sein d’une entreprise reconnue pour sa fiabilité technologique et son exigence qualité.
 - Environnement collaboratif et stimulant sur le plan technique.
",https://candidat.francetravail.fr/offres/recherche/detail/7891085,2026-01-15,2026-02-11,France Travail
Architecte d'Entreprise Data et Socles Transverses H/F,Externatic,CDI,69 - Écully,Annuel de 68000.0 Euros à 80000.0 Euros,"L'entreprise accompagnée et les missions:
Rejoignez une organisation IT stratégique au cœur d’un grand groupe français du secteur de l’assurance, engagée dans une transformation profonde de son système d’information.
L’environnement évolue vers une architecture moderne, micro-services, orientée événements et centrée sur la donnée, avec le déploiement de socles transverses structurants : plateformes data, services d’intégration, gestion événementielle et sécurité orientée données.
Implantée sur plusieurs sites en France et rassemblant plus d’un millier de collaborateurs IT, cette entité joue un rôle clé dans la performance et l’innovation du groupe, en accompagnant les métiers sur des enjeux à fort impact (relation client, digital, data, cloud).

Ce recrutement en CDI est réalisé avec l’accompagnement du cabinet Externatic, partenaire spécialisé des entreprises finales pour leurs recrutements IT.

Vos missions : 

En tant qu’Architecte d’Entreprise Data et Socles Transverses, vous intervenez sur des enjeux structurants du SI et de la transformation digitale :
- Définir et faire évoluer la cible d’architecture du SI, en cohérence avec la stratégie globale et les standards du marché
- Conseiller les équipes métiers, MOA et IT dans le choix des solutions, animer des démarches de consultation (RFI/RFP) et réaliser des POC / prototypes
- Conduire des études d’architecture d’intégration et formaliser les design patterns et référentiels d’architecture
- Contribuer aux dispositifs d’intégration multicanale : automatisation, CRM, IA conversationnelle, plateformes omnicanales
- Participer à la mise en œuvre de plateformes hybrides : API Management, MOM, iPaaS, ETL, MFT
- Concevoir et piloter une architecture data-centric : gouvernance, qualité, circulation et sécurisation des données, conformité RGPD
- Définir les trajectoires d’évolution Cloud et les principes d’architecture Cloud Native (SaaS, PaaS, FaaS, micro-services)
- Travailler en transverse avec les autres architectes, contribuer à la gouvernance du SI et assurer une veille technologique et réglementaire

Profil:
- Formation Bac+5 (école d’ingénieur ou équivalent)
- 10 ans d’expérience minimum en architecture SI, sur des environnements complexes et à forte exposition métier
- Solide expertise des architectures micro-services, événementielles, Cloud et des SI orientés données
- Maîtrise des grandes familles technologiques liées à :- l’intégration applicative et aux plateformes hybrides
- la data (gouvernance, qualité, sécurité, conformité)
- le Cloud et les architectures distribuées
(des technologies ou outils équivalents sont bien entendu acceptés)

- Capacité à concevoir des trajectoires d’urbanisation SI et à accompagner des projets à forte valeur ajoutée
- Excellentes qualités de communication, sens du collectif, rigueur et curiosité intellectuelle
- Une expérience dans le secteur de l’assurance ou des environnements réglementés est un atout

Avantages:
Les conditions de travail
- Salaire : 68 000 à 80 000 € / an fixe pour le profil attendu + nombreuses primes.
- Remote : 2 jours / semaine
- Localisation : Ecully

Ce que vous allez y gagner
- Groupe pérenne avec des moyens humains et techniques importantes
- Bonne adéquation vie pro / vie perso (9,5 semaines de congés par an, ...)
- Package global attractif (PEE / PERCO / Primes d’éducation …)
- CSE très intéressant
- Formation et évolution régulières en interne

Le process de recrutement
- Traitement candidature et RDV avec Audrey THIERY
- RDV RH
- RDV Opérationnel (N+1 et N+2)",https://candidat.francetravail.fr/offres/recherche/detail/7880960,2026-01-14,2026-02-11,France Travail
Data manager (H/F),,CDI,35 - Bruz,,"Description du poste :
Au sein de l'équipe fondation en qualité d'ingénieur IA, vous contribuez à l'écosystème de l'IA dans le domaine militaire, notamment en développement des technologies et solutions visant à y répondre.
Vos principales missions seront les suivantes :
-Contribuer à la définition et à la mise en œuvre de la stratégie globale d'IA de l'AMIAD
-Identifier et évaluer les opportunités d'application de l'IA pour résoudre des problèmes complexes
-Architecturer et développer des solutions IA avancées, garantissant leur performance, leur scalabilité et leur fiabilité
-Établir et maintenir des standards de qualité et de sécurité pour le développement et le déploiement de solutions IA pérennes et reproductibles
-Containeriser et orchestrer les modèles d'IA pour assurer leur déploiement et leur gestion en environnement de production
-Innover et explorer des nouvelles approches et techniques d'apprentissage automatique, apprentissage profond et tout autre domaine de l'IA
-Assurer une veille pour rester à la pointe des avancées technologiques en IA
-Collaborer avec les acteurs du réseau IA/data du ministère des armées et avec les partenaires de l'écosystème IA français et européen.
Pour les profils les plus expérimentés, vous serez responsable de conduire des projets mettant en avant vos compétences sur votre domaine d'expertise et vos capacités de prise de décision.
Description du profil :
Titulaire d'un diplôme de niveau bac+5/+8 en informatique spécialisé en IA, vous avez une expérience d'au moins 5 années dans la réalisation de projets d'IA. Vous suivez l'état de l'art.
Fort de votre expérience, vous maitrisez :
-La conception d'un modèle de données ;
-Le développement algorithmique en IA ;
-Les bases de données (SQL, MongoDB) et les technologies Docker, Python et Git.
-L'utilisation de modèles d'apprentissage automatique
Doté d'un fort esprit d'équipe, autonome, proactif, curieux et pédagogue, vous êtes en mesure de communiquer et expliquer les solutions à des collaborateurs multidisciplinaires.",https://candidat.francetravail.fr/offres/recherche/detail/7754599,2026-01-11,2026-02-11,France Travail
Ingénieur / Ingénieure big data (H/F),DFB,CDD,94 - Val-de-Marne,,"Collecte et analyse des volumes importants de données, tout en garantissant la sécurité de celles-ci. Développe des solutions de traitement et d'industrialisation de ces données en mobilisant son expertise technique (technologies du Big Data, langages, ..) en lien avec les équipes qui les analysent et les équipes métier. Déploie et maintient la solution sur son cycle de vie.",https://candidat.francetravail.fr/offres/recherche/detail/7716705,2026-01-11,2026-02-11,France Travail
Manager Data & GenAi Strategie - Business Consulting H/F,CGI,CDI,75 - Paris 1er Arrondissement,,"POSTE : Manager Data & GenAi Strategie - Business Consulting H/F
DESCRIPTION : Manager Data & (Gen)AI Strategie - Business Consulting - F/H   
  
Description de poste  
 CGI Business Consulting est le partenaire stratégique des entreprises et des organisations dans leur transformation digitale. Forts de l'appui d'un grand groupe et d'une dynamique entrepreneuriale, nous accompagnons nos clients dans l'exploitation des opportunités offertes par la Data et l'Intelligence Artificielle.  
Notre équipe en forte croissance recherche des talents ambitieux et passionnés, désireux de relever des défis et d'innover dans un environnement dynamique et collaboratif.  
  
Pourquoi nous rejoindre ?  
- Une activité en plein essor : participez à la croissance rapide de notre practice Data & AI et à la structuration d'offres à fort impact.  
- Un rôle stratégique et managérial : encadrez et accompagnez les consultants dans leurs missions, tout en contribuant activement au développement de l'offre.  
- Un esprit entrepreneurial : prenez part activement à l'évolution des offres, des méthodologies et du positionnement marché.  
- Un accompagnement et des opportunités de développement : bénéficiez d'un parcours d'évolution rapide au sein d'une équipe à taille humaine, avec l'appui des ressources d'un grand groupe.  
- Un environnement collaboratif et bienveillant : intégrez une équipe passionnée, où l'entraide et l'intelligence collective sont au coeur de notre fonctionnement.   
Fonctions et responsabilités  
 En tant que Manager Data & AI, vous interviendrez auprès de nos clients et aurez un rôle clé dans le développement de notre practice :  
- Définir et piloter les stratégies Data & AI : concevoir des roadmaps de transformation et accompagner leur mise en oeuvre pour maximiser l'impact business.  
- Superviser et encadrer des équipes : accompagner les consultants et assurer le bon déroulement des projets Data & AI.  
- Accompagner la transformation des organisations : analyser l'impact des évolutions technologiques et proposer des recommandations adaptées aux enjeux métiers.  
- Optimiser la performance opérationnelle : améliorer les processus métiers et l'exploitation des données pour renforcer l'efficacité et l'innovation.  
- Développer et sécuriser des projets Data & (Gen)AI : cadrer et piloter la mise en oeuvre de solutions analytiques et d'intelligence artificielle.  
- Participer au développement commercial : contribuer à l'identification d'opportunités, à la rédaction de propositions commerciales et à l'acquisition de nouveaux clients.  
- Promouvoir une approche responsable de l'IA : intégrer les enjeux éthiques et réglementaires dans la conception et l'utilisation des solutions.  
  
En rejoignant CGI, vous bénéficiez notamment d'une offre complète de formations (techniques, métiers, développement personnel,), de flexibilité grâce à notre accord télétravail (jusqu'à 3 jours de télétravail par semaine), d'une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,) et d'un package d'avantages intéressant (régime d'achats d'actions, participation, CSE,).   
Qualités requises pour réussir dans ce rôle  
 Nous recherchons des profils passionnés par la data et l'IA, ayant un fort esprit entrepreneurial et une volonté d'accompagner nos clients dans leur transformation.  
- Diplômé(e) d'une grande école de commerce, d'ingénieur ou d'une formation universitaire de premier rang.  
- Expérience de 6 ans minimum en cabinet de conseil, en entreprise ou en start-up sur des sujets liés à la data, à l'intelligence artificielle ou à la transformation digitale.  
- Expérience avérée en gestion de projet et en encadrement d'équipes.  
- Capacité à structurer des analyses, formuler des recommandations et piloter des projets complexes.  
- Esprit d'équipe, capacité à travailler dans un environnement agile et en forte croissance.  
- Excellentes compétences en communication écrite et orale.  
- Maîtrise de l'anglais (niveau C1 minimum).  
Si vous êtes motivé(e) à participer activement au développement d'une offre Data & AI stratégique au sein d'un cabinet en pleine expansion, nous serions ravis d'échanger avec vous.  
Rejoignez-nous !  
  
CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l'évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Notre engagement en faveur de la diversité et de l'inclusion a été reconnu par l'obtention du label recrutement inclusif, décerné par Job in Live, acteur spécialisé dans le recrutement inclusif. Dans un souci d'accessibilité et de clarté, le point médian n'est pas utili",https://candidat.francetravail.fr/offres/recherche/detail/7561858,2026-01-07,2026-02-11,France Travail
Développeur Big Data (H/F),,CDI,75 - Paris 9e Arrondissement,,"Description du poste :
Assurer l'import, la préparation, la mise en forme et l'intégration sous des technologies ESRI de tout type de données géoréférencées géographiques ou de renseignement.
Capitaliser et administrer les données patrimoniales du CRGI dans les bases de données spatiales métiers.
Recueillir et répondre aux besoins des sections de production du CRGI en matière de données non présentes dans les catalogues internes.
Rechercher et identifier les sources de données spatialisées utiles au CRGI.
Conseiller et être force de proposition pour les sections de production du CRGI sur l'utilisation des données mises à disposition ainsi que d'en contrôler le bon respect d'emploi.
Réaliser des travaux particuliers de conversion, de mise en forme et d'export de données pour des demandeurs externes au CRGI.
Participer à l'élaboration des processus, méthodes et procédures d'import, de création, d'édition et de diffusion de données par le CRGI.
Réaliser des scripts python pour les tâches automatisables.
Assurer l'instruction du personnel du CRGI sur les méthodes relevant du domaine des Données.
Assurer une veille technologique sur les données et leurs méthodes de manipulation.
Assurer la suppléance du chef de cellule.
Description du profil :
Première expérience de géographe ou de géomaticien souhaitable.",https://candidat.francetravail.fr/offres/recherche/detail/7223724,2025-12-30,2026-02-11,France Travail
Chef de projet data (H/F),,CDI,35 - Bruz,,"Description du poste :
Gérer des projets dans le domaine de l'intelligence artificielle
Encadrer fonctionnellement une équipe projet
Communiquer et anticiper
Améliorer des processus
Orienter des investissements
Description du profil",https://candidat.francetravail.fr/offres/recherche/detail/7223510,2025-12-30,2026-02-11,France Travail
GESTIONNAIRE MASTER DATA (F/H) (H/F),,MIS,92 - Clichy,,"descriptif du posteDans le cadre du déploiement de la solution SAP S4 sur la France et le Portugal : En lien avec le Finance Lead du projet, votre mission principale sera de mettre en œuvre et coordonner le nettoyage des données clients dans les systèmes sources. Vous aurez pour responsabilités de :Assurer l'organisation du processus de rationalisation du référentiel client.Effectuer le suivi de l'avancement des sites impliqués.Coordonner les différents in",https://candidat.francetravail.fr/offres/recherche/detail/7199274,2025-12-29,2026-02-11,France Travail
